37564	三	七	五	六	四
4コマ漫画	四	齣	漫画
CM	commercial	message
不自然	不	自然
不貞腐れる	ふて	腐れる
不足数	不足	数
不飽和	不	飽和
不飽和脂肪酸	不飽和	脂肪酸
与論島	与論	島
丑三つ時	丑三つ	時
世の中	世	の	中
世も末	世	も	末
世界大戦	世界	大戦
世界恐慌	世界	恐慌
世界線	世界	線
世界量子の日	世界	量子	の	日
世界量子デー	世界	量子	デー
世知辛い	世知	辛い
世話を焼く	世話	を	焼く
世論調査	世論	調査
世間知らず	世間	知らず
世間話	世間	話
丙	火	の	兄
両唇音	両	唇音
両性酸化物	両性	酸化物
両眼鏡	両眼	鏡
両面テープ	両面	テープ
並列処理	並列	処理
中世ジャップランド	中世	ジャップランド
中今	中	今
中務	中	司
中国	中	国
中国地方	中国	地方
中央アフリカ帝国	中央アフリカ	帝国
中央処理装置	中央	処理	装置
中央演算処理装置	中央	演算	処理	装置
中小	中	小
中小企業	中小	企業
中指	中	指
中村	中	村
中東	中	東
中東呼吸器症候群	中東	呼吸器	症候群
中枢神経系	中枢	神経系
中欧	中	欧
中納言	中	納言
中継放送	中継	放送
中置記法	中置	記法
中耳炎	中耳	炎
中華料理	中華	料理
中華蕎麦	中華	蕎麦
中途半端	中途	半端
中高型	中高	型
串揚げ	串	揚げ
串鯖	串	鯖
丸印	丸	印
丸太	丸	太
丸太小屋	丸太	小屋
丸括弧	丸	括弧
丸秘	丸	秘
丸耳象	丸	耳	象
主審	主	審
主権侵犯	主権	侵犯
主権在民	主権	在民
久しぶり	久しい	振り
久闊	久	闊
乗りこなす	乗り	こなす
乗り換える	乗り	換える
乗駕	乗	駕
乙	木	の	弟
乙女	おと	女
乙姫	乙	姫
九人	九	人
九回	九	回
九帯アルマジロ	九	帯	アルマジロ
乱れ刃	乱れ	刃
乱反射	乱	反射
乳幼児突然死症候群	乳幼児	突然死	症候群
乳押さえ	乳	押さえ
乳搾り	乳	搾り
乳糖	乳	糖
乳糖不耐症	乳糖	不耐	症
乳首	乳	首
乾布摩擦	乾	布	摩擦
亀虫	亀	虫
予備校	予備	校
争で	如何	で
争奪戦	争奪	戦
事務職員	事務	職員
事実上	事実	上
二人	二	人
二人羽織	二人	羽織
二人部屋	二人	部屋
二十日	二十	日
二十日兎	二十日	兎
二十日鼠	二十日	鼠
二十歳	二十	歳
二周目	二	周	目
二回	二	回
二塁	二	塁
二女	二	女
二字	二	字
二字銘	二字	銘
二度寝	二度	寝
二日	二	日
二月	二	月
二次元配列	二次元	配列
二次的道具	二次的	道具
二男	二	男
二矢	おと	矢
二言	二	言
二輪	二	輪
二輪草	二輪	草
二重基準	二重	基準
二重底	二重	底
五人	五	人
五十六	五十	六
五十嵐	五十	が	嵐
五十路	五十	ち
五十鈴	五十	鈴
五反田	五	反	田
五右衛門風呂	五右衛門	風呂
五回	五	回
五智如来	五	智	如来
五月	五	月
五月雨	五月, 皐月	雨
五段活用	五段	活用
五色鶸	五色	鶸
五賢帝	五	賢	帝
五輪	五	輪
五輪塔	五輪	塔
井の中の蛙大海を知らず	井	の	中	の	蛙	大海	を	知らず
井守	井	守り
井戸	井	所
井戸水	井戸	水
交差位	交差	位
交感神経	交感	神経
交感神経節	交感	神経	節
交感神経系	交感	神経	系
交戦団体	交戦	団体
交通事故	交通	事故
交霊術	交霊	術
京の着倒れ	京	着倒れ
京町家	京	町家
京都府	京都	府
京阪	京	阪
人を食う	人	を	食う
人参エキス	人参	エキス
人声	人	声
人工生命	人工	生命
人形	人	形
人獣共通感染症	人	獣	共通	感染症
人目	人	目
人目が煩い	人目	が	煩い
人目に付く	人目	に	付く
人目に余る	人目	に	余る
人目に晒す	人目	に	晒す
人目に現わる	人目	に	現わる
人目に立つ	人目	に	立つ
人目を奪う	人目	を	奪う
人目を引く	人目	を	引く
人目を忍ぶ	人目	を	忍ぶ
人目を憚る	人目	を	憚る
人目を盗む	人目	を	盗む
人目を避ける	人目	を	避ける
人虱	人	虱
人見知り	人	見知り
人質	人	質
人身の自由	人身	の	自由
人身取引	人身	取引
人身御供	人身	御供
人造絹糸	人造	絹糸
人道に対する罪	人道	に	対する	罪
人間	人	間
人間ドック	人間	ドック
人間国宝	人間	国宝
今宵	此	宵
今朝	此	朝
今皇	今	天皇
介錯	介	錯
仕上がる	し	上がる
仕上げる	し	上げる
仕事	し	事
仕立屋	仕立て	屋
仕置き	し	置き
仕置き場	仕置き	場
他動詞	他動	詞
他覚症状	他覚	症状
付き添う	付き	添う
付き纏う	付き	纏う
付加価値税	付加	価値	税
代名詞	代	名詞
代数幾何	代数	幾何
代理戦争	代理	戦争
代理母	代理	母
代用字	代用	字
代走	代	走
仮免許	仮	免許
仮名文	仮名	文
仮置き	仮	置き
仮釈放	仮	釈放
仰ぎ見る	仰ぐ	見る
伊豆の国	伊豆	の	国
伊邪那岐	いざ	な	き
伏見宮	伏見	の	宮
伝導帯	伝導	帯
伝承文学	伝承	文学
伝言板	伝言	板
伝送制御プロトコル	伝送	制御	プロトコル
伝道の書	伝道	の	書
伯母	小	母
伸長位	伸長	位
但し	ただ	し
位相幾何	位相	幾何
位置エネルギー	位置	エネルギー
低級脂肪酸	低級	脂肪酸
低血糖	低	血糖
低血糖症	低	血糖	症
住宅金融組合	住宅	金融	組合
佐賀県	佐賀	県
体内時計	体内	時計
体操	体	操
体術	体	術
体言	体	言
何と	何	と
何となく	何	と	なく
何十	何	十
何曜日	何	曜日
余裕綽々	余裕	綽々
作り笑い	作り	笑い
作り茸	作り	茸
作業員	作業	員
作業服	作業	服
使い分ける	使い	分ける
使役動詞	使役	動詞
例の	例	の
例話	例	話
供給源	供給	源
依頼書	依頼	書
価値観	価値	観
価格証明書	価格	証明書
便所	便	所
俗ラテン語	俗	ラテン語
保つ	手	持つ
保健室	保健	室
信号無視	信号	無視
信教の自由	信教	の	自由
信販会社	信販	会社
倉庫番	倉庫	番
個人所得税	個人	所得	税
個人番号	個人	番号
個人番号カード	個人	番号	カード
倍角	倍	角
借音	借	音
倭琴	倭	琴
健闘を祈る	健闘	を	祈る
側位	測	位
側圧	側	圧
側頭	側	頭
偶像崇拝	偶像	崇拝
偽アカシア	偽	アカシア
傘	唐	傘
傘海苔	傘	海苔
催涙スプレー	催涙	スプレー
催眠	催	眠
催眠療法	催眠	療法
傲岸不遜	傲岸	不遜
傷つく	傷	付く
傷つける	傷	付ける
働き詞	働き	詞
億ション	億	マンション
億万	億	万
償う	つぐ	に	おう
優しさ	優しい	さ
優しみ	優しい	み
元治	元	治
元素	元	素
元首	元	首
兄	吾	の	兄
兄ちゃん	兄	ちゃん
兄分	兄	分
兄弟分	兄弟	分
兄鷹	兄	鷹
先カンブリア時代	先	カンブリア	時代
先割れスプーン	先	割れ	スプーン
先行	先	行き
先進国	先進	国
光ファイバー	光	ファイバー
光学顕微鏡	光学	顕微鏡
光明真言	光明	真言
兎に角	と	に	斯く	に
兎座	兎	座
兎馬	兎	馬
党葬	党	葬
兜	頭	兜
兜合わせ	兜	合わせ
兜虫	兜	虫
兜蟹	兜	蟹
入れ替える	入れ	替える
入口	入り	口
入次数	入	次数
入江鰐	入江	鰐
入船	入り	船
入道前太政大臣	入道	前	の	太政大臣
全会一致	全会	一致
全速前進	全速	前進
八ヶ月	八	ヶ月
八人	八	人
八咫鏡	八	咫	の	鏡
八回	八	回
八尺瓊勾玉	八尺瓊	の	まがたま
八尾	八	尾
八木アンテナ	八木	アンテナ
八目鰻	八つ	目	鰻
八雲琴	八雲	琴
公共事業	公共	事業
公園道路	公園	道路
公式戦	公式	戦
公益事業	公益	事業
公立学校	公立	学校
六つの花	六つ	の	花
六人	六	人
六十	六	十
六回	六	回
六角六片三角孔ねじれ正多面体	六角	六	片	三角	孔	ねじれ	正多面体
六角四片四角孔ねじれ正多面体	六角	四	片	四角	孔	ねじれ	正多面体
六角柱	六	角柱
共同通信社	共同	通信社
共同闘争	共同	闘争
共和国	共和	国
共在	共	在
共存	共	存
共通点	共通	点
兵庫県	兵庫	県
内大臣	内	大臣
内掛け	内	掛け
内脚	内	足, 脚
内部者取引	内部	者	取引
内閣総理大臣	内閣	総理	大臣
円グラフ	円	グラフ
再び	二	度
再会	再	会
再利用	再	利用
再創造	再	創造
再帰動詞	再帰	動詞
再教育	再	教育
再来年	再来	年
再来月	再来	月
再来週	再来	週
再構成	再	構成
再確認	再	確認
再編成	再	編成
再起動	再	起動
写真植字	写真	植字
冠鷲	冠	鷲
冥想	瞑	想
冷え切る	冷え	切る
冷たい	爪	痛い
冷たい戦争	冷たい	戦争
冷却塔	冷却	塔
冷奴	冷や	奴
冷蔵庫	冷蔵	庫
凱旋門	凱旋	門
凶夢	凶	夢
凹	凹	む
凹む	減り	込む
出来上がる	出来	上がる
出次数	出	次数
出歯雀鯛	出歯	雀鯛
出歯鼠	出歯	鼠
出版の自由	出版	の	自由
出産証明書	出産	証明書
出鼻をくじく	出鼻	を	挫く
出鼻を折る	出鼻	を	折る
刃	焼き	刃
分不相応	分	不相応
分光	分	光
分光特性	分光	特性
分割払い	分割	払い
分岐点	分岐	点
分相応	分	相応
分銅桜	分銅	桜
切り倒す	切る	倒す
切れ目	切れる	目
切断厨	切断	厨
切羽詰まる	切羽	詰まる
切腹	切	腹
切除	切	除
刑務官	刑務	官
刑吏	刑	吏
初	生む	日
初体験	初	体験
初心者マーク	初心者	マーク
初恋	初	恋
初春	初	春
初物	初	物
初絡み	初	絡み
初音	初	音
判決文	判決	文
別天津神	異	天	つ	神
制御棒	制御	棒
刷り込む	刷り	込む
刺身	刺し	身
刺身包丁	刺身	包丁
剃刀	髪	剃り
剃毛プレイ	剃毛	プレイ
前	目	方
前置記法	前置	記法
前衛芸術	前衛	芸術
前貼り	前	貼
前頭	前	頭
剣術	剣	術
剣闘士	剣	闘士
副交感神経	副	交感	神経
副交感神経系	副	交感	神経	系
副会長	副	会長
副作用	副	作用
副監督	副	監督
副社長	副	社長
副詞句	副詞	句
副詞節	副詞	節
副鼻腔炎	副鼻腔	炎
割り切る	割る	切る
割烹	割	烹
割烹着	割烹	着
割腹	割	腹
創唱	創	唱
創造神	創造	神
力	霊	柄
力む	力	む
力水	力	水
力石	力	石
加速度	加	速度
加齢臭	加齢	臭
助数詞	助	数詞
助監督	助	監督
助詞	助	詞
勅撰和歌集	勅撰	和歌	集
動く	うご	く
動物実験	動物	実験
動物崇拝	動物	崇拝
勝手	勝ち	手
勢力均衡	勢力	均衡
勾玉	曲が	玉
勿体無い	勿体	無い
包摂主義	包摂	主義
化け物	化け	物
化け猫	化ける	猫
化学平衡	化学	平衡
化学汚染	化学	汚染
化石	化	石
化石燃料	化石	燃料
化青鮫	化け	青鮫
北半球	北	半球
北口	北	口
北朝鮮	北	朝鮮
北栗鼠	北	栗鼠
北極洋	北極	洋
北極海	北極	海
北極熊	北極	熊
北極狼	北極	狼
北海道	北海	道
北米航空宇宙防衛司令部	北米	航空宇宙	防衛	司令部
北象海豹	北	象海豹
匙	茶	匙
区点	区	点
医学上	医学	上
医院長	医院	長
匿名投票	匿名	投票
匿名組合	匿名	組合
十三参り	十三	参り
十中八九	十	中	八	九
十九日	十	九	日
十二単	十二	単
十人	十	人
十六夜	十六	夜
十六夜薔薇	十六夜	薔薇
十回	十	回
十手	十	手
千古不易	千古	不易
千名	千	名
千羽鶴	千	羽
千葉県	千葉	県
千鳥	千	鳥
午前	午	前
半余矢	半	余矢
半正矢	半	正矢
半纏	半	纏
卍巴	卍	巴
卒する	卒	する
卒業試験	卒業	試験
卓球	卓	球
卓球選手	卓球	選手
南アジア語族	南アジア	語族
南アフリカ共和国	南アフリカ	共和国
南京虫	南京	虫
南京豆	南京	豆
南京錠	南京	錠
南半球	南	半球
南口	南	口
南天紋	南天	紋
南方振動	南方	振動
南樺太	南	樺太
南欧	南	欧
南海地震	南海	地震
南無妙法蓮華経	南無	妙法蓮華経
南蛮烏瓜	南蛮	烏瓜
南蛮煙管	南蛮	煙管
南象海豹	南	象海豹
南都	南	都
単一執行府論	単一	執行府	論
単一行政理論	単一	行政	理論
単価記号	単価	記号
単純林	単純	林
単純機械	単純	機械
単車	単	車
博国	広	国
博士論文	博士	論文
博物館	博物	館
卜占術	卜占	術
卯月	卯	月
印度犀	印度	犀
印画紙	印画	紙
印紙税	印紙	税
即戦力	即	戦力
卵	玉	子
卵殻	卵	殻
厄介払い	厄介	払い
厚生労働省	厚生	労働	省
原子価	原子	価
原子力潜水艦	原子力	潜水艦
原子力発電	原子力	発電
原子力船	原子力	船
原子核分裂	原子核	分裂
原子番号	原子	番号
原料	原	料
原理	原	理
原理主義	原理	主義
原生動物	原生	動物
厭世主義	厭世	主義
厭世観	厭世	観
去痰薬	去痰	薬
友好	友	好
友愛数	友愛	数
双円錐	双	円錐
双角錐	双	角錐
双魚宮	双	魚	宮
反りが合わない	反り	が	合わない
反ユダヤ主義	反	ユダヤ	主義
反射神経	反射	神経
反戦歌	反	戦歌
反発係数	反発	係数
反知性主義	反	知性主義
反社会的勢力	反社会的	勢力
反転テクトニクス	反転	テクトニクス
反陽子	反	陽子
反響定位	反響	定位
叔母	小	母
取り付く	取り	付く
取り返しがつかない	取り返し	が	付く
取り返す	取り	返す
受け付ける	受ける	付ける
受け皿	受け	皿
受動喫煙	受動	喫煙
受診	受	診
受講生	受講	生
受身形	受け身	形
叙事詩	叙事	詩
口に合う	口	に	合う
口を挟む	口	を	挟む
口付ける	口	付ける
口八丁手八丁	口	八丁	手	八丁
口吸い	口	吸い
口寄せ	口	寄せ
口承文学	口承	文学
口承文芸	口承	文芸
口裂け女	口	裂け	女
口語形	口語	形
口述試験	口述	試験
口高	口	高
古事記	古事	記
古今	古	今
古今和歌集	古今	和歌	集
古楽器	古	楽器
古武士	古	武士
古神道	古	神道
叩き付ける	叩き	付ける
叩き落とす	叩き	落とす
只働き	只	働く
召し上がる	召す	上がる
召し抱える	召し	抱える
召し替える	召し	替える
召し連れる	召し	連れる
可処分所得	可処分	所得
可愛い子ちゃん	可愛い	子
可愛がる	可愛い	がる
可能動詞	可能	動詞
可視光線	可視	光線
台パン	だい	パンチ
台湾虎	台湾	虎
台詞	競り	言ふ
右上	右	上
右下	右	下
右大臣	右	大臣
右横書き	右	横書き
右腕	右	腕
司る	官	取る
司法長官	司法	長官
吃	儘	泣き
吃驚マーク	吃驚	マーク
各方面	各	方面
合同誌	合同	誌
合意書	合意	書
合成洗剤	合成	洗剤
合挽	合い	挽
合略仮名	合略	仮名
合衆国	合	眾國
吉夢	吉	夢
吉祥天	吉祥	天
吉祥寺	吉祥	寺
同僚	同	僚
同性愛嫌悪	同性愛	嫌悪
同時通訳	同時	通訳
同期転送モード	同期	転送	モード
名乗り出る	名乗り	出る
名付ける	名	付ける
名前	名	前
名古屋弁	名古屋	弁
名残り	波	残り
名残惜しい	名残	惜しい
名無し指	名無し	指
向日葵	日	回り
君が代	君	が	代
君子の交わりは淡きこと水の如し	君子	の	交わり	は	淡き	こと	水	の
吹き抜ける	吹く	抜ける
呉竹	呉	竹
呉音	呉	音
告別式	告別	式
呑舟の魚は枝流に游がず	呑舟の魚	は	枝流	に	游がず
味噌	未	醬
呵呵大笑	呵呵	大笑
呼び出し	呼ぶ	出す
命	息	の	霊
命取り	命	取り
命名権	命名	権
命知らず	命	知らず
咀嚼筋	咀嚼	筋
和室界隈	和室	界隈
和弓	和	弓
和歌山	和歌	山
和歌山県	和歌山	県
和琴	和	琴
和語	和	語
咲き乱れる	咲く	乱れる
咳払い	咳	払い
品切れ	品	切れ
品詞	品	詞
哺乳類	哺乳	類
唐名	唐	名
唐土	唐	土
唐紅	唐	紅
唐縮緬	唐	縮緬
唐菓子	唐	菓子
唐萵苣	唐	萵苣
唐音	唐	音
唐黍	唐	黍
唸る	う	鳴る
啄む	突き	食む
商人	あき	ひと
商務省	商務	省
問うに落ちず語るに落ちる	問う	に	落ちず	語る	に	落ちる
啼兎	啼	兎
善し悪し	善し	悪し
善は急げ	善	は	急げ
喇叭水仙	喇叭	水仙
喉	飲み	門
喉ちんこ	喉	ちんこ
喉頭隆起	喉頭	隆起
喚き声	喚き	声
喚き立てる	喚き	立てる
喚語困難	喚語	困難
喧嘩を売る	喧嘩	を	売る
喧嘩を買う	喧嘩	を	買う
嗅ぎ付ける	嗅ぐ	付ける
嗅ぎ回る	嗅ぐ	回る
嗅覚器官	嗅覚	器官
嘉仁	嘉	仁
嘘っぽい	嘘	っぽい
嘲す	嘲	す
嘲笑う	嘲	笑う
噂	上	さ
噂をすれば	噂	を	すれば
噂話	噂	話
噛みこなす	噛み	こなす
噛み締める	噛み	締める
四つの自由	四つ	の	自由
四つ葉のクローバー	四つ葉	の	クローバー
四人	四	人
四回	四	回
四天王	四	天王
四暗刻	四	暗刻
四畳半	四	畳	半
四苦八苦	四苦	八苦
四面体	四面	体
四面体凧	四面体	凧
四面体形分子構造	四面体	形	分子	構造
四面半六面体	四面	半	六面体
因果応報	因果	応報
固唾を呑む	固唾	を	呑む
固有名詞	固有	名詞
国内	国	内
国内総生産	国内	総	生産
国士無双	国士	無双
国民	国	民
国民投票	国民	投票
国民議会	国民	議会
国訓	国	訓
国語	国	語
国語辞典	国語	辞典
国際単位系	国際	単位系
国際原子力機関	国際	原子力	機関
国際量子科学技術年	国際	量子	科学	技術	年
国際関係	国際	関係
土人形	土	人形
土偶	土	偶
土器	瓦	笥
土地鑑	土地	鑑
土壌汚染	土壌	汚染
土曜日	土曜	日
土気	土	気
土産	宮	笥
土砂崩れ	土砂	崩れ
土砂降り	土砂	降り
土蜘蛛	土	蜘蛛
圧力計	圧力	計
在留カード	在留	カード
地上絵	地上	絵
地下室	地下	室
地下水汚染	地下水	汚染
地下線	地下	線
地下自由通路	地下	自由	通路
地下鉄道	地下	鉄道
地図帳	地図	帳
地対空ミサイル	地対空	ミサイル
地震	地	震い
坂道	坂	道
坤	未	申
垂れ目	垂れ	目
型録	型	録
城	石	城
執り行う	執り	行き
埼玉県	埼玉	県
堀川	掘る	川
堆積岩	堆積	岩
堕天使	堕	天使
報復関税	報復	関税
報道の自由	報道	の	自由
報道陣	報道	陣
場札	場	札
塗り薬	塗り	薬
塩基	塩	基
塩基対	塩基	対
塩基性酸化物	塩基性	酸化物
塩屋	塩	屋
墓前	墓	前
墓地	墓	地
墓場	墓	場
墓石	墓	石
壁紙	壁	紙
声帯	声	帯
声豚	声	豚
売り出し	売り	出し
売り切れる	売り	切れる
売り場	売り	場
売り捌く	売り	捌く
売れ行き	売れ	行き
売上げ	売り	上げ
売春婦	売春	婦
変てこ	変	てこ
変わり身	変わり	身
変イ短調	変	イ	短調
変イ長調	変	イ	長調
変ト長調	変	ト	長調
変ニ長調	変	ニ	長調
変ハ長調	変	ハ	長調
変ヘ長調	変	ヘ	長調
変ホ短調	変	ホ	短調
変ホ長調	変	ホ	長調
変ロ短調	変	ロ	短調
変ロ長調	変	ロ	長調
変体仮名	変体	仮名
変化	変	化
変成岩	変成	岩
変換ミス	変換	ミス
変数	変	数
変更届	変更	届
変格	変	格
変速レバー	変速	レバー
変速装置	変速	装置
夏ばて	夏	ばて
夏椿	夏	椿
夕ご飯	夕	御飯
夕立は馬の背を分ける	夕立	は	馬の背	を	分ける
外	背	外
外つ国	外	つ	国
外信部	外信	部
外法	外	法
多次元配列	多次元	配列
多重国籍	多重	国籍
多重継承	多重	継承
多頭政治	多頭	政治
夜伽	夜	伽
夜咲睡蓮	夜	咲	睡蓮
夜汽車	夜	汽車
夜船	夜	船
夜行列車	夜行	列車
夜雨	夜	雨
夜露死苦	夜	露	死	苦
夢	寝	目
夢物語	夢	物語
夢見る	夢	見る
大きいお友達	大きい	お	友達
大きなお友達	大きな	お	友達
大した	大	した
大アナコンダ	大	アナコンダ
大アルマジロ	大	アルマジロ
大リーグ	大	リーグ
大三元	大	三元
大便	大	便
大倭根子天皇	大倭	根子	の	天皇
大冒険	大	冒険
大出血	大	出血
大分県	大分	県
大勲位	大	勲位
大口バス	大	口	バス
大后	大	后
大和	大	和
大和琴	大和	琴
大四喜	大	四喜和
大国主	大	国	主
大土蜘蛛	大	土蜘蛛
大地震	大	地震
大坂	大	坂
大坐します	大	益す
大女子	大	女子
大好き	大	好き
大安吉日	大安	吉日
大家族	大	家族
大将軍	大	将軍
大小	大	小
大山猫	大	山猫
大山祇	大	山	つ	神
大山積命	大	山	つ	神	の	命
大山積神	大	山	つ	神	の	神
大山鼠	大	山鼠
大幅	大	幅
大弓	大	弓
大晦	大	晦
大晦日	大	三十日
大本	大	本
大東亜戦争	大東亜	戦争
大根役者	大根	役者
大気圏	大気	圏
大気汚染	大気	汚染
大気汚染防止法	大気汚染	防止	法
大水	大	水
大津	大	津
大海烏	大	海烏
大海馬	大	海馬
大王烏賊	大王	烏賊
大瑠璃	大	瑠璃
大白鳥	大	白鳥
大目白鮫	大	目白鮫
大相撲	大	相撲
大納言	大	納言
大統領警護処	大統領	警護	処
大脳生理学	大脳	生理学
大腿四頭筋	大腿	四頭筋
大腿筋膜	大腿	筋膜
大臣	大	臣
大英帝国	大	英	帝国
大蒜	大	蒜
大蚊	蚊々	の	母
大蛇	尾ろ	霊
大蟻食	大	蟻食
大袈裟	大	袈裟
大規模	大	規模
大逆罪	大逆	罪
大道具	大	道具
大道商人	大道	商人
大部分	大	部分
大阪	大	阪
大阪府	大阪	府
大雑把	大	薪雑把
大雨	大	雨
大震災	大	震災
大魚	大	魚
大鰐鮫	大	鰐	鮫
大鷲	大	鷲
大鹿	大	鹿
天が下	天	が	下
天の下	天	の	下
天下り	天	下り
天体	天	体
天南	天	南
天叢雲剣	天	の	叢雲	の	剣
天変地異	天変	地異
天文単位	天文	単位
天津麻羅	天	つ	まら
天然惚け	天然	惚け
天然痘	天然	痘
天照	天	照らす
天皇誕生日	天皇	誕生日
天皇陛下	天皇	陛下
天皇陛下万歳	天皇陛下	万歳
天秤棒	天秤	棒
天竺楽	天竺	楽
天罰覿面	天罰	覿面
天草	天	草
天蝎宮	天	蝎	宮
天象儀	天象	儀
天道虫	天道	虫
天鈿女	天	の	鈿女
天馬	天	馬
太平洋戦争	太平洋	戦争
太平洋標準時	太平洋	標準時
太政	大	政
太政大臣	太政	大臣
太政官	太政	官
太郎	太	郎
太陽系儀	太陽系	儀
太陽電池	太陽	電池
太鼓	太	鼓
太鼓腹	太鼓	腹
失念	失	念
失敬千万	失敬	千万
失礼千万	失礼	千万
奄美野黒兎	奄美	野	黒	兎
奇跡劇	奇跡	劇
奈良山	奈良	山
奈良時代	奈良	時代
奈良県	奈良	県
奥義	奥	義
女の子	女	の	子
女クラ	女子	クラスルーム
女体盛り	女体	盛り
女子	女	子
女家長	女	家長
女将	御	上
女形	女	形
女房詞	女房	言葉
女手	女	手
女教皇	女	教皇
女族長	女	族長
女武芸者	女	武芸者
女物	女	物
女神	女	の	神
女郎花	女	圧し
女魔法師	女	魔法	師
奴智鮫	奴	智	鮫
好きバレ	好き	ばれ
好むと好まざるとにかかわらず	好む	と	好まざる	と	に	かかわらず
如何	い	か
如何わしい	如何	しい
如意宝珠	如意	宝珠
如月	如	月
妹分	妹	分
姉	吾	の	兄
姉分	姉	分
姉羽鶴	姉	羽	鶴
姓名	姓	名
委員長	委員	長
姥鮫	姥	鮫
姫	日	女
姫アルマジロ	姫	アルマジロ
姫君	姫	君
姫海亀	姫	海亀
姫遊び	姫	の	遊び
娘	生す	女
婚文	夜這い	文
婦人服	婦人	服
媚薬	媚	薬
嬉し泣き	嬉し	泣き
嬢ちゃん	嬢	ちゃん
嬰イ短調	嬰	イ	短調
嬰イ長調	嬰	イ	長調
嬰ト短調	嬰	ト	短調
嬰ト長調	嬰	ト	長調
嬰ニ短調	嬰	ニ	短調
嬰ハ短調	嬰	ハ	短調
嬰ハ長調	嬰	ハ	長調
嬰ヘ短調	嬰	ヘ	短調
嬰ヘ長調	嬰	ヘ	長調
子ども部屋おじさん	子ども	部屋	おじさん
子供部屋おじさん	子供	部屋	おじさん
子守熊	子守り	熊
子守鮫	子守	鮫
子泣き爺	子	泣	爺
子犬	子	犬
子獅子	子	獅子
子鹿	子	鹿
字音仮名遣い	字音	仮名遣い
季節外れ	季節	外れ
学術書	学術	書
学食	学生	食堂
宅録	宅	録
宇宙飛行	宇宙	飛行
守らう	守ら	ふ
守り人	守り	人
守護神	守護	神
守銭奴	守	銭	奴
安価	安	価
安全ピン	安全	ピン
安全ベルト	安全	ベルト
安全第一	安全	第一
安全網	安全	網
安心立命	安心	立命
安月給	安	月給
安楽死	安楽	死
宋音	宋	音
完了形	完了	形
完了時制	完了	時制
宗主権	宗主	権
宗教団体	宗教	団体
官奴司	官奴	司
定めない	定め	無い
定冠詞	定	冠詞
定型詩	定型	詩
定旋律	定	旋律
定礎式	定礎	式
宝瓶宮	宝	瓶	宮
宝生如来	宝生	如来
宝箱	宝	箱
実るほど頭の下がる稲穂かな	実る	ほど	頭	の	下がる	稲穂	かな
実在論	実在	論
実施例	実施	例
実蠅	実	蠅
実行権	実行	権
実質経済成長率	実質経済成長	率
実験小説	実験	小説
実験材料	実験	材料
実験段階	実験	段階
実験装置	実験	装置
室内コート	室内	コート
室内ソナタ	室内	ソナタ
室内楽	室内	楽
室内装飾	室内	装飾
室内遊戯	室内	遊戯
室町	室	町
宥和	宥	和
宥和政策	宥和	政策
宮仕え	宮	仕え
宮城県	宮城	県
宮崎県	宮崎	県
家兎	家	兎
家庭料理	家庭	料理
家持ち	家	持ち
家禽類	家禽	類
家紋	家	紋
家鴨	足	広
容易い	た	易い
宿借り	宿	借り
宿舎	宿	舎
寄せ集める	寄せ	集める
密教	密	教
富士山	富士	山
富山県	富山	県
寒帯	寒	帯
寝そべる	寝	そべる
寝ぬ	寝	寝
寝ゲロ	寝	ゲロ
寝取る	寝	取る
寝台列車	寝台	列車
寝坊	寝	坊
寝巻き	寝間	着
寝床	寝	床
寝椅子	寝	椅子
寝物語	寝	物語
寝粉	寝	粉
寝衣	寝	衣
寝袋	寝	袋
寝間	寝	間
寡頭制	寡	頭	制
審査員	審査	員
審美眼	審美	眼
対局時計	対局	時計
対岸の火事	対岸	の	火事
対米外国投資委員会	対米	外国	投資	委員会
対訳本	対	訳本
対費用効果	費用	対	効果
寿	言	祝く
射場	射	場
尊	御	事
尊王論	尊	王	論
尊皇論	尊	皇	論
小三元	小	三元
小人カイマン	小人	カイマン
小倉百人一首	小倉	百人一首
小児	小	児
小児科医	小児	科	医
小冊子	小	冊子
小刀	小	刀
小判鮫	小判	鮫
小刻み	小	刻み
小口	小	口
小四喜	小	四喜和
小坂	小	坂
小坊	小	坊
小夜曲	小夜	曲
小女子	小	女子
小帯	小	帯
小幅	小	幅
小指	小	指
小柄	小	柄
小槌	小	槌
小毛綿鴨	小	毛綿鴨
小泉	小	泉
小泉進次郎構文	小泉進次郎	構文
小浜	小	浜
小熊座	小	熊
小犬座	小	犬
小瑠璃	小	瑠璃
小白鳥	小	白鳥
小石	小	石
小確幸	小	確	幸
小蜈蚣	小	蜈蚣
小蝶鮫	小	蝶鮫
小袖	小	袖
小説	小	説
小道具	小	道具
小酒	小	酒
小量	小	量
小金目梟	小	金目梟
小銃	小	銃
小鍋	小	鍋
小鍋立て	小鍋	立て
小阪	小	坂
小雨	小	雨
小鯨	小	鯨
小鳥	小	鳥
少しも	少し	も
少女	乙	女
少年兵	少年	兵
少林寺	少林	寺
少納言	少	納言
尖鼠	尖り	鼠
尰	おめ	足, 脚
就職口	就職	口
尺	竹	測り
尺一	尺	一
尻取り	尻	取り
尻叩き	尻	叩く
尻尾	尻	尾
尻尾を出す	尻尾	を	出す
尻尾を巻く	尻尾	を	巻く
尻尾を振る	尻尾	を	振る
尻尾を掴む	尻尾	を	掴む
尾巻錦蛇	尾	巻	錦蛇
尾根	尾	根
尾状核	尾状	核
